Icao,Message,Timestamp,Receiver,df,Receiver IP
70206D,5D70206DB59DB6,122D254DD3ADC5,1,11,192.168.30.27
70206D,5D70206DB59DB6,122D25C389D4C8,1,11,192.168.30.27
702099,5D702099B00148,122D20354E1869,2,11,192.168.101.3
70206D,5D70206DB59DB6,122D26B1348BCE,1,11,192.168.30.27
70206D,5D70206DB59DB6,122D27274352CD,1,11,192.168.30.27
702099,5D702099B00148,122D20AB168061,2,11,192.168.101.3
800602,5D800602AAD2A4,122D275EA04B35,1,11,192.168.30.27
70206D,5D70206DB59DB6,122D2813B317CF,1,11,192.168.30.27
7705C5,5D7705C59A78A1,122D212F245917,2,11,192.168.101.3
70206D,5D70206DB59DB6,122D288AB7A9C8,1,11,192.168.30.27
702099,5D702099B00148,122D2198938F23,2,11,192.168.101.3
70206D,5D70206DB59DB6,122D2A6511ECD4,1,11,192.168.30.27
70206D,5D70206DB59DB6,122D2ADABEFCD2,1,11,192.168.30.27
485785,5D485785CE0725,122D2CEF49DB2C,1,11,192.168.30.27
70206D,5D70206DB59DB6,122D30DFC483CE,2,11,192.168.101.3
800C11,5D800C1139AD6E,122D314022AD4C,2,11,192.168.101.3
